# Iteration 0
Image 0:
-0.453278 0.236738 -0.230321
0.101287 -0.160657 0.047531
-0.122383 0.085788 0.099667
-0.047708 0.023888 -0.126593
-0.003053 -0.121984 0.041489
-0.186487 0.172086 0.116589
-0.085205 0.027138 0.146836
0.057754 0.220687 -0.030232
0.066003 -0.001630 -0.076065
-0.050229 -0.042866 -0.098504
-0.123636 0.050885 0.027932
0.078244 0.125641 -0.117994
0.143100 0.077590 0.177447
0.165821 -0.045868 -0.075969
-0.028995 -0.067449 -0.004163
-0.124983 0.017608 0.096358
0.125245 0.016013 0.120459

Image 15:
-0.160101 0.055950 -0.334888
-1.543795 -0.453073 -0.143118
-0.271805 -0.298380 0.177658
1.783099 -0.014003 -0.078803
-0.379648 0.411799 -0.041120
-0.075999 -0.274273 -0.144757
-0.179543 -0.297155 0.096542
0.105823 -0.245960 0.145315
0.271129 -0.074213 -0.037411
0.152041 0.228468 -0.145487
-0.070092 0.250782 -0.268468
-0.102047 0.069702 0.078978
-0.025274 -0.139656 0.001164
0.096465 0.079020 -0.076447
0.060137 -0.025769 0.100769
-0.060986 0.092322 -0.016799
-0.071834 -0.119998 -0.048545
0.156551 0.175844 0.052981
-0.046020 -0.291439 -0.079961
0.641028 -1.781042 -0.971086
-0.071960 -0.116998 0.078964
0.066894 -0.138001 0.081993
0.160953 -0.034637 -0.030083
0.093139 0.111125 -0.089001
-0.063969 0.094059 -0.062427
-0.122099 -0.050896 -0.024593
0.565349 0.288814 0.077565
-0.353266 1.939622 1.225209
0.011695 -0.164768 0.468081
-0.011872 0.046528 -0.079097
-0.511201 0.244889 -0.299133
0.119467 -0.159992 0.060744
-0.131243 0.082636 0.095778
-0.046207 0.028270 -0.131450
-0.002791 -0.129729 0.046306
-0.205982 0.203064 0.122864
-0.094730 0.028476 0.159797
0.069507 0.249119 -0.035278
0.072709 0.004560 -0.077799
-0.056300 -0.050065 -0.101584
-0.127801 0.051658 0.028064
0.075193 0.131637 -0.124135
0.154323 0.079442 0.192674
0.169926 -0.046838 -0.070398
-0.030637 -0.069491 -0.003726
-0.134697 0.020574 0.097172
0.126466 0.008017 0.126978

Image 16:
-0.189977 0.062919 -0.375078
-1.537362 -0.440814 -0.161424
-0.314375 -0.333565 0.228849
1.826383 -0.024552 -0.045357
-0.401557 0.695022 0.127959
0.013478 -0.347450 -0.185793
-0.203319 -0.301147 0.113283
0.152206 -0.281583 0.171086
0.233686 -0.053700 -0.037468
0.188944 0.226228 -0.164796
-0.121721 0.279554 -0.290900
-0.094972 0.064685 0.088561
-0.019910 -0.137641 0.009384
